#SKILL
Name         reserved~
Type         Spell
Minpos       8
Wearoff      ???~
Minlevel     101
End

#SKILL
Name         acid potency~
Type         Skill
Race         1
Minlevel     13
End

#SKILL
Name         acid spit~
Type         Skill
Rounds       12
Race         1
Wearoff      &w&CThe pain slowly fades, and your vision returns.~
Minlevel     8
End

#SKILL
Name         acute hearing~
Type         Skill
Race         1
Minlevel     16
End

#SKILL
Name         advanced medical~
Type         Skill
Rounds       8
Race         0
Minlevel     12
End

#SKILL
Name         air support~
Type         Skill
Rounds       120
Race         0
Minlevel     20
End

#SKILL
Name         alertness~
Type         Skill
Race         0
Minlevel     8
End

#SKILL
Name         alien rage~
Type         Skill
Rounds       90
Race         1
Wearoff      &w&C(Alien Rage) You feel your frenzy wearing away. You are weaker. ~
Minlevel     6
End

#SKILL
Name         armor (heavy)~
Type         Skill
Race         0
Minlevel     15
End

#SKILL
Name         armor (light)~
Type         Skill
Race         0
Code         do_nothing
Minlevel     2
End

#SKILL
Name         armor (medium)~
Type         Skill
Race         0
Minlevel     10
End

#SKILL
Name         awareness~
Type         Skill
Rounds       3
Race         0
Minlevel     9
End

#SKILL
Name         basic medical~
Type         Skill
Rounds       4
Race         0
Minlevel     4
End

#SKILL
Name         battle focus~
Type         Skill
Rounds       60
Race         2
Minlevel     2
End

#SKILL
Name         battle method~
Type         Skill
Rounds       12
Race         1
Minlevel     5
End

#SKILL
Name         battlecry~
Type         Skill
Rounds       20
Race         2
Minlevel     18
End

#SKILL
Name         breach~
Type         Skill
Rounds       12
Race         1
Minlevel     10
End

#SKILL
Name         cartography~
Type         Skill
Rounds       60
Race         0
Minlevel     16
End

#SKILL
Name         close-range combat~
Type         Skill
Race         2
Minlevel     8
End

#SKILL
Name         confuse~
Type         Skill
Rounds       60
Race         1
Wearoff      &w&C(Confuse) Your fellow aliens return to the Hive, leaving you to your prey.~
Minlevel     15
End

#SKILL
Name         critical strike~
Type         Skill
Rounds       12
Race         1
Minlevel     7
End

#SKILL
Name         demolitions~
Type         Skill
Rounds       12
Race         0
Minlevel     14
End

#SKILL
Name         dodge~
Type         Skill
Rounds       6
Race         1
Minlevel     2
End

#SKILL
Name         double strike~
Type         Skill
Rounds       30
Race         2
Minlevel     11
End
